Name,price,sold,discount,liked-count,ads_keyword,cmt_count,stock,view_count,price_before_discount,price_min,price_max,price_min_before_discount,price_max_before_discount,rating_star,rating_count,rating_count_total,rcount_with_image,rcount_with_context,options,options_count,image,itemid,shopid,catid,shop_location,video_info_list_duration,stt
"Áo Sơ Mi Boo Boo tay ngắn nam FEAER form suông, Chất lụa chéo",175000000,1557,33%,3007,wkdaelpmissisiht,1746,695,114097,26000000000,17500000000,17500000000,26000000000,26000000000,4.953635,[1747. 4. 3. 3. 50. 1687],1747,376,655,['M'. 'L'. 'XL'. 'XXL'],4,2f5bb4dd11f64e23db728102a4c815a5,7041587820,263713672,78,TP. Hồ Chí Minh,35,1
Áo thun Polo nam cổ bẻ vải cá sấu Cotton trẻ trung 6 màu P11 - POLOMAN,259000000,1232,35%,577,wkdaelpmissisiht,851,3413,69126,39900000000,25900000000,25900000000,39900000000,39900000000,4.951765,[850. 4. 0. 4. 17. 825],850,291,426,['ĐEN'. 'TRẮNG'. 'VÀNG'. 'RÊU'. 'ĐỎ'. 'XANH DƯƠNG'],6,afb37aa9daa49bdf9e0a3e9830140dfc,4142346280,225909574,78,TP. Hồ Chí Minh,38,2
Áo Polo nam tay dài 95% Cotton Hàng VNXK Loại 1,182000000,10297,35%,38,,6,6875,599,28000000000,18200000000,18200000000,28000000000,28000000000,5,[6. 0. 0. 0. 0. 6],6,3,6,['Màu Đen'. 'Màu Trắng'. 'Màu Xanh Đen'],3,4a76c160ba34d104159994c051955dfd,3767471882,348785729,78,Hà Nội,0,3
Bộ Quần áo thu đông nam nữ 💥FREESHIP💥 mã TT38  dáng thể dục thể thao hàn quốc đẹp  gồm áo khoác hoodie và quần jogger,188000000,4603,49%,889,,4,4000,1387,36900000000,18800000000,18800000000,36900000000,36900000000,4.75,[4. 0. 0. 0. 1. 3],4,2,3,['ĐEN'. 'BT'],2,3d60a1ac526c2f50c5f01462d994ad45,4855801789,254506319,77,Hà Nội,59,4
Áo thun nam dài tay mã TT76 cổ tròn thu đông giữ ấm dáng thể thao giữ nhiệt đẹp kiểu nỉ chất vải đẹp,80000000,4501,,212,,2,16400,244,0,8000000000,25000000000,-1,-1,5,[2. 0. 0. 0. 0. 2],2,1,2,['XANH THAN'. 'XANH DA TRỜI'. 'NÂU'. 'ĐEN'. 'BT'],5,8b5b1bbed3dd86bbb080e1175de440f4,6665746894,254506319,78,Hà Nội,43,5
"Áo polo nam Galvin cổ dệt bo len,áo thun nam có cổ tay lỡ công sở 25- Leo Vatino",159000000,1176,28%,532,áo nam,776,489,61741,22000000000,15900000000,15900000000,22000000000,22000000000,4.958763,[776. 1. 1. 5. 15. 754],776,220,349,['Xanh than'. 'Be'. 'Trắng'. 'Đen'. 'Nâu đất'],5,46a0160b40a9927d6202bdd545a92049,4239390386,277678439,78,Hà Nội,32,6
"Áo khoác gió lót lông cừu Uni ⚡️𝐅𝐑𝐄𝐄 𝐒𝐇𝐈𝐏⚡️ hàng vnxk, siêu mềm, siêu ấm, siêu chống nước (tặng kèm túi đựng)",239200000,4330,20%,1,,1,25668,151,29900000000,23920000000,23920000000,29900000000,29900000000,5,[1. 0. 0. 0. 0. 1],1,0,1,['Đen'. 'Than'. 'Xám đậm'. 'Xanh rêu'. 'Đỏ cam'. 'Xám nhạt'],6,ecbcf62569a13fef2da61b4d054731c1,4168787014,141265649,78,Hà Nội,0,7
[FREESHIP TOÀN QUỐC] Áo thun tay dài nam nữ unisex cá tính mẫu trơn phối màu giá rẻ,89000000,4745,18%,3142,,14,26296,3960,10900000000,8900000000,9900000000,10900000000,10900000000,4.714286,[14. 1. 0. 0. 0. 13],14,6,13,['Đen'. 'Trắng'. 'Xanh dương'],3,60826a904f2e6a98d6f1fbd73bded48d,6468120834,351898295,78,TP. Hồ Chí Minh,0,8
áo hoddie chữ siêu hot đủ màu form rộng - phù hợp cho cả nam và nữ - tech,99000000,850,29%,33,,5,533244,1709,12500000000,9900000000,9900000000,12500000000,14000000000,5,[5. 0. 0. 0. 0. 5],5,1,5,['Xanh bơ'. 'Trắng'. 'Xanh rêu'. 'Hồng cam tech'. 'Xanh dương'. 'Cam đất'],6,0572e07aa6d03e4a59bd056e6ffb450b,7469435604,25143432,77,TP. Hồ Chí Minh,0,9
"[Mua 2 giảm 20%] Áo thun polo nam họa tiết lá cọ in chìm tinh xảo trên nền vải single, Basis APL101",220000000,278,29%,306,ao,304,721,17793,31000000000,22000000000,22000000000,31000000000,31000000000,4.871711,[304. 2. 2. 6. 13. 281],304,64,94,['APL101 lá cọ'. 'APL107 hoa lá'. 'APL98 mũi tên xen kẽ'],3,ab4b17bf54aaba8aaca788a74125d3f7,6042105933,147229880,78,TP. Hồ Chí Minh,25,10
