Name,price,sold,discount,liked-count,ads_keyword,cmt_count,stock,view_count,price_before_discount,price_min,price_max,price_min_before_discount,price_max_before_discount,rating_star,rating_count,rating_count_total,rcount_with_image,rcount_with_context,options,options_count,image,itemid,shopid,catid,shop_location,video_info_list_duration
Giày Nhựa Chống Nước- giày lỗ Urban siêu nhẹ- giày đi mưa chất liệu nhựa Eva pylon full màu,139000000,62,22%,162,wkdaelpmissisiht,269,1321,2755,17900000000,13900000000,13900000000,17900000000,17900000000,4.929368,[269. 0. 1. 1. 14. 253],269,63,101,['Trắng đế xám '. 'Trắng đế xanh than'. 'trắng đế xanh'. 'trắng đế hồng'. 'Trắng full'],5,8d94fc33bf0e14d1d54f59411d9c55ea,3743910550,257470625,161,Hà Nội,0
Giầy thể thao Balen trip s siêu hót 36-44,249000000,20,,34087,balenciaga,17,47899,4097,0,24900000000,29900000000,-1,-1,5,[17. 0. 0. 0. 0. 17],17,3,4,['Số 1'. 'Số 2'. 'Số 3'. 'Số 4'. 'Số 5'. 'Số 6'],6,39a23c58ed25a5f5c830ae4dba5cc1a3,1822531901,119375081,2429,Hà Nội,40
Giày Sneaker Thể Thao Nam Nữ Pro Đủ 4 Màu Hot Nhất 2020 Đen. Trắng Cam. Xanh Ngọc. Ghi Xám,500000000,15000,,4,,0,3185000,1158,0,50000000000,50000000000,-1,-1,0,[0. 0. 0. 0. 0. 0],0,0,0,['Trắng'. 'Ghi'. 'Đen'. 'Xanh Ngọc'],4,b9d5dbd15c56b1f4adcfc82e708885c1,8600414318,333678241,161,Hà Nội,0
Giày Sneaker Nam [ FREESHIP ] Giày Thể Thao Nam Nhẹ Nhàng Êm Ái Trẻ Trung - G36,466800000,7400,20%,3,,4,18499,298,58350000000,46680000000,46680000000,58350000000,58350000000,5,[4. 0. 0. 0. 0. 4],4,4,4,['Be'. 'Trắng'],2,da7d08149ac9ee41ad81a6989503d9a1,9803621139,357567178,2429,TP. Hồ Chí Minh,0
GIÀY THỂ THAO VẢI 3 MÀU - GÍA TỐT,160000000,5000,,2,,1,682285,276,0,16000000000,16000000000,-1,-1,5,[1. 0. 0. 0. 0. 1],1,1,1,['Đen '. 'Kem'. 'Tím'],3,16eb4be8082ceb1756d11d9d89ab92b9,3870199175,80428352,161,Hà Nội,0
Giầy Sneaker Mickey❤️freeship ❤️full size 38-43,143040000,86,4%,62,wkdaelpmissisiht,54,427,3964,14900000000,14304000000,14304000000,14900000000,14900000000,4.925926,[54. 0. 0. 0. 4. 50],54,11,25,['Đen'. 'Nâu'],2,1cb53b4b83db42c4546b9cdc2cc88750,4249039224,233744274,2429,Hải Dương,0
Giày cao gót 9 phân da bóng đế đỏ sang chảnh []HÀNG ĐẸP],388800000,4454,20%,1,,4,99886,23,48600000000,38880000000,38880000000,48600000000,48600000000,5,[4. 0. 0. 0. 0. 4],4,2,4,['Đen'. 'Hồng nude'. 'Nâu cacao'. 'Trắng'],4,d50ed145d8361851b48caa1ab7396d4d,7570103676,359919912,161,TP. Hồ Chí Minh,0
Giày Thể Thao Nam tăng chiều cao phong cách cực ngầu thời trang trẻ trung G19,594000000,4400,20%,1,,3,18499,536,74250000000,59400000000,59400000000,74250000000,74250000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Xám Đen'. 'Xám Trắng'],2,82b332e4c605b4b68f6fdef88848061a,9703620556,357567178,2429,TP. Hồ Chí Minh,0
Giày Sneaker nam - Giày thể thao nam hot trend phong cách năng động đế cao su non thoáng khí,420000000,4400,20%,2,,3,22499,291,52500000000,42000000000,44600000000,52500000000,52500000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Đen '. 'Kem'],2,f1655222b80d035b0bc0fd38b3fc935e,8303617587,357567178,2429,TP. Hồ Chí Minh,0
GIẦY THỂ THAO NAM NHẬP KHẨU.TĂNG CHIỀU CAO.ẢNH SHOP TỰ CHỤP.HÀNG CÓ SẴN,159000000,17,50%,28,giầy thê thao nam,17,183,3351,17900000000,15900000000,17900000000,17900000000,35800000000,4.941176,[17. 0. 0. 0. 1. 16],17,5,10,['Đen'. 'Đen 3x'. 'Be 3x'. 'Trắng 3x'. 'Be'. 'Be nhạt'. 'Số 8 nâu'. 'Số 8 trắng'],8,52f9cbaebbb9de9ed2794fcf8dded040,6560373906,314921399,2429,Hà Nội,25
Giày Thể Thao Nam Giày cổ thấp Phù Hợp Mọi Lứa Tuổi Mẫu Mới Nhất Tháng 10/2020,481000000,4400,10%,0,,3,8500,67,53550000000,48100000000,48100000000,53550000000,53550000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Trắng Xám'],1,dda2f20457fc8f28fdfc08aa9e4d683f,9503617629,357567178,2429,TP. Hồ Chí Minh,0
Giày thể thao nam - MS1 giày sneaker cổ thấp đế cao fom chuẩn mẫu mới nhất,537600000,4400,30%,0,,3,2000,204,76800000000,53760000000,53760000000,76800000000,76800000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Trắng'],1,d2a2b640fc9a08bcd087b8247f861d48,9503615767,357567178,2429,TP. Hồ Chí Minh,0
Giày Sneaker Nam [ FREESHIP ] Giày Thể Thao Nam Nhẹ Nhàng Êm Ái Trẻ Trung - G30,420000000,4400,20%,1,,3,8499,424,52500000000,42000000000,47250000000,52500000000,52500000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Đen'],1,82e442ec3ffca934f6f8deb9bb971829,9303621042,357567178,2429,TP. Hồ Chí Minh,0
Giày thể thao nam da bò thật nguyên tấm - Giầy Sneaker nam cao cấp cực chất CHEAPSTOREVN CS419/CS415 (bảo hành 24 tháng),428400000,60,37%,604,giay,69,153,14354,68000000000,42840000000,43520000000,68000000000,68000000000,4.797101,[69. 2. 0. 1. 4. 62],69,30,41,['CS419 - Ghi '. 'CS415 - Xanh Trầm'],2,e07f176a14c2e2aab6f5b276fe872528,5038673567,18687977,2429,Hà Nội,41
Giày Sneaker Pro Xanh Ngọc Hot Nhất 2020 Full Size (36-43),310000000,4030,38%,1,,0,795970,478,50000000000,31000000000,31000000000,50000000000,50000000000,0,[0. 0. 0. 0. 0. 0],0,0,0,['39'. '40'. '41'. '42'. '43'. '36'. '37'. '38'],8,4dfe0fb793c978e5374ac1ca6a431d6a,7065806210,333678241,161,Hà Nội,0
Giày Sneaker Nam [ FREESHIP ] Giày Thể Thao Nam cool ngầu trẻ trung nam tính - G37,504000000,4400,20%,3,,3,18500,195,63000000000,50400000000,50400000000,63000000000,63000000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Be'. 'Đen'],2,8ebd56fc16d3bcfacea34429aa4df81f,9003621397,357567178,2429,TP. Hồ Chí Minh,0
Giày sneaker thể thao siêu nhẹ cho nam Giày dệt lưới thoáng khí （G83）,954000000,1000,25%,0,,2,265999,95,1.27E+11,95400000000,95400000000,1.27E+11,1.27E+11,5,[2. 0. 0. 0. 0. 2],2,2,2,['black'. 'gray'. 'brown'],3,ec30a3963f35201becff8ed067728975,9504586957,360757553,2429,TP. Hồ Chí Minh,0
